n,k,count_time,aru_time,quick_time,merge_time,radix_time,count_space_bytes,aru_space_bytes
5000,31622776,0.01271498,4.538E-5,2.2857333333333333E-4,3.2597333333333334E-4,1.6402E-4,126531104,84984
5000,100000000,0.04049354,4.6853333333333334E-5,2.3574E-4,3.7326E-4,1.8924666666666668E-4,400040000,120000
5000,316227766,0.12949051333333333,5.1313333333333336E-5,2.3411333333333333E-4,3.270666666666667E-4,1.8888666666666668E-4,1264951064,182256
5000,1000000000,0.42104864,7.638E-5,2.450866666666667E-4,3.5095333333333336E-4,1.8946E-4,4000040000,292976
10000,10000,2.0486666666666668E-5,6.778666666666667E-5,4.7162E-4,7.757466666666667E-4,1.5717333333333333E-4,120000,80800
10000,31622,3.0566666666666667E-5,6.686666666666666E-5,4.821266666666667E-4,6.5486E-4,1.9568666666666668E-4,206488,81416
10000,100000,6.418E-5,6.829333333333334E-5,4.7864E-4,6.716E-4,1.9630666666666666E-4,480000,82528
10000,316227,1.6690666666666667E-4,6.686666666666666E-5,4.796E-4,6.551266666666667E-4,2.3515333333333334E-4,1344908,84496
10000,1000000,4.943E-4,6.761333333333334E-5,4.7802E-4,6.6732E-4,2.4055333333333333E-4,4080000,88000
10000,3162277,0.0013488266666666668,7.027333333333333E-5,4.9146E-4,6.780866666666667E-4,2.8996666666666665E-4,12729108,94224
10000,10000000,0.004158686666666666,7.109333333333334E-5,4.8498666666666666E-4,6.714933333333334E-4,2.8584666666666667E-4,40080000,105296
10000,31622776,0.012169986666666667,7.862E-5,4.794E-4,6.899266666666666E-4,3.230866666666667E-4,126571104,124984
10000,100000000,0.03843924,8.083333333333334E-5,4.8666666666666666E-4,6.7938E-4,3.1620666666666667E-4,400080000,160000
10000,316227766,0.12665072,8.814666666666666E-5,4.917E-4,6.673066666666666E-4,3.619E-4,1264991064,222256
10000,1000000000,0.38779147333333336,9.973333333333334E-5,4.8510666666666665E-4,6.700066666666666E-4,3.5602E-4,4000080000,332976
50000,100000,1.3967333333333334E-4,3.3602E-4,0.00271776,0.00383828,9.7686E-4,800000,402528
50000,316227,3.6326E-4,3.3685333333333334E-4,0.002791773333333333,0.0038384866666666666,0.00120702,1664908,404496
50000,1000000,6.292866666666667E-4,3.3321333333333333E-4,0.002720806666666667,0.00376272,0.0011795,4400000,408000
50000,3162277,0.0017575466666666668,3.3593333333333333E-4,0.00273392,0.003761,0.0013902666666666666,13049108,414224
50000,10000000,0.00447494,3.4049333333333336E-4,0.00274388,0.0037704933333333334,0.00138454,40400000,425296
50000,31622776,0.012570846666666666,3.471666666666667E-4,0.00290852,0.0037690666666666665,0.0015913733333333333,126891104,444984
50000,100000000,0.03844969333333333,3.5352E-4,0.0028672533333333333,0.0037757533333333333,0.0015952666666666667,400400000,480000
50000,316227766,0.13691084666666667,3.9881333333333335E-4,0.003100733333333333,0.00431878,0.00205532,1265311064,542256
50000,1000000000,0.6510082866666667,5.526933333333333E-4,0.004239806666666667,0.00586462,0.0028904733333333333,4000400000,652976
100000,100000,3.866E-4,0.0010159933333333333,0.00913818,0.01309326,0.00318568,1200000,802528
100000,316227,6.268933333333334E-4,0.0010254666666666666,0.00952002,0.013359806666666666,0.00394158,2064908,804496
100000,1000000,0.0011380266666666666,0.0010362533333333334,0.009189346666666667,0.013319166666666667,0.0039134,4800000,808000
100000,3162277,0.0032680266666666666,0.0010293266666666666,0.009406,0.013250373333333332,0.004601426666666667,13449108,814224
100000,10000000,0.007815473333333333,0.00107992,0.00978966,0.014103026666666667,0.00445006,40800000,825296
100000,31622776,0.020069006666666667,0.00105916,0.008888553333333334,0.01237124,0.00496314,127291104,844984
100000,100000000,0.05832723333333333,0.0010298533333333334,0.008990866666666666,0.012179286666666667,0.004900353333333334,400800000,880000
100000,316227766,0.18611995333333334,0.0010401,0.008940246666666667,0.012220686666666666,0.00566332,1265711064,942256
100000,1000000000,0.5784491466666667,0.0011614133333333334,0.009184346666666668,0.012451306666666667,0.005658213333333334,4000800000,1052976
500000,1000000,0.0028003733333333333,0.005287246666666667,0.0504979,0.06923378666666667,0.018149153333333334,8000000,4008000
500000,3162277,0.00683018,0.005384526666666667,0.05093578666666667,0.07070919333333334,0.021381746666666666,16649108,4014224
500000,10000000,0.013774526733333334,0.005413773266666666,0.050162913266666664,0.06879238,0.021278680066666666,44000000,4025296
500000,31622776,0.03172414666666667,0.005996926866666667,0.053633426533333334,0.0773637,0.026513306666666667,130491104,4044984
500000,100000000,0.07072764666666667,0.0053830934,0.052139833266666664,0.07286238673333334,0.0258919066,404000000,4080000
500000,316227766,0.19828652666666666,0.005288453333333333,0.0512395466,0.07232400006666667,0.029268826666666668,1268911064,4142256
500000,1000000000,0.5998392266666667,0.00555872,0.0516769,0.07008077333333333,0.0282915,4004000000,4252976
1000000,1000000,0.005134753333333334,0.010586333333333333,0.10588004666666667,0.14768466666666666,0.037006446666666665,12000000,8008000
1000000,3162277,0.011919833333333333,0.010731813333333333,0.10482347333333333,0.1453772,0.043641933333333334,20649108,8014224
1000000,10000000,0.022629,0.010908333333333334,0.10535929333333334,0.14543030666666668,0.04360907333333333,48000000,8025296
1000000,31622776,0.03727002,0.010706686666666666,0.10504046666666667,0.14459139333333335,0.04961716,134491104,8044984
1000000,100000000,0.07716106666666667,0.011222226666666666,0.10570876666666666,0.14602598666666666,0.04974861333333333,408000000,8080000
1000000,316227766,0.20345338666666668,0.011217766666666667,0.10440980666666666,0.14482738,0.055761193333333334,1272911064,8142256
1000000,1000000000,0.6041309133333334,0.010961846666666667,0.10572584666666666,0.14611874,0.056392153333333334,4008000000,8252976
